id,road,km,type,name,length,condition,lat,lon,model_type,FLOODCAT,CycloonCat,Total Cargo,Total People,Total Transport,Total Transport Weight,SourceSink Cargo Weight,SourceSink People Weight
128,N1,138.953,Box Culvert,MOHAMMAD ALI MAZAR,4.0,B,23.0607473333333,91.3618624619047,bridge,7.0,2.0,,,,,,
129,N1,141.531,Box Culvert,FATAPUR BOX CULVERT,10.8,A,23.0379728055555,91.3656784724359,bridge,7.0,2.0,,,,,,
130,N1,142.793,Slab Culvert,DEBIPUR SLAB CULVERT,1.6,A,23.0269801170731,91.3655004839721,bridge,7.0,2.0,,,,,,
131,N1,144.939,Box Culvert,CHARIPUR CULVERT.,3.4,A,23.0124048410423,91.3779796149837,bridge,7.0,2.0,,,,,,
132,N1,147.296,Box Culvert,RAMPUR BOX CULVERT,1.5,A,22.999248756,91.3957752,bridge,0.0,2.0,,,,,,
133,N1,147.349,sourcesink,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),0.0,,22.9963886,91.3998052,sourcesink,,,7712.5,6424.0,14136.5,0.0089403730589085,0.0474288490394312,0.0218207262932279
134,N1,148.151,RCC Girder Bridge,RAMPUR BRIDGE,23.4,A,22.9947280792802,91.4022894900763,bridge,0.0,2.0,,,,,,
135,N1,148.174,PC Girder Bridge,Rampur Bridge(R,22.15,A,22.9945936133042,91.4024539137404,bridge,0.0,2.0,,,,,,
136,N1,148.495,Box Culvert,.,1.9,A,22.9927169359869,91.4047486961832,bridge,0.0,3.0,,,,,,
137,N1,153.843,PC Girder Bridge,LAMUA BRIDGE,94.05,B,22.9614487369369,91.4429962027027,bridge,0.0,2.0,,,,,,
138,N1,158.031,Box Culvert,FAZAILPUR BOXCULVERT,1.5,A,22.9486038666666,91.4794993833333,bridge,0.0,2.0,,,,,,
139,N1,159.6335,sourcesink,Fazilpur Z1081 - Muhuriganj Z1032 (Left),0.0,,22.9497774,91.4980274,sourcesink,,,7712.5,6424.0,14136.5,0.0089403730589085,0.0474288490394312,0.0218207262932279
140,N1,160.379,PC Girder Bridge,MUHURI BRIDGE,191.5,B,22.9496126090047,91.502066899526,bridge,7.0,2.0,,,,,,
141,N1,165.183,PC Girder Bridge,DumGhat Bridge(L,222.43,A,22.9149647061403,91.5262895350877,bridge,7.0,2.0,,,,,,
142,N1,165.183,PC Girder Bridge,DHOOM GHAT PC GIRDER,220.6,B,22.9149647061403,91.5262895350877,bridge,7.0,2.0,,,,,,
143,N1,165.825,Box Culvert,BUMGAT BOXCULVERT,6.1,A,22.9097128884012,91.5289285034482,bridge,7.0,2.0,,,,,,
144,N1,166.479,Slab Culvert,BOROYAR PARA SLUB CULVERT,3.0,A,22.9042462955223,91.5316297776119,bridge,7.0,2.0,,,,,,
145,N1,167.963,Box Culvert,BAROYARHAT BOX CULVERT,3.0,A,22.8916386,91.5354719,bridge,5.0,2.0,,,,,,
146,N1,169.933,Box Culvert,UTTOR SONAPAR BOX CULVERT,4.3,A,22.8746986941176,91.5408836647058,bridge,5.0,2.0,,,,,,
147,N1,170.174,Box Culvert,CHAIRMEN BARI BOX CULVERT,2.0,A,22.872722034892,91.5415958766187,bridge,5.0,2.0,,,,,,
148,N1,170.725,Box Culvert,MADDAM SONAPAR(1 BOX CULVERT,1.5,A,22.8680563702127,91.5432963340425,bridge,0.0,2.0,,,,,,
149,N1,171.554,Box Culvert,DHARBAR TILA CULVERT,4.3,A,22.8609876872509,91.5451551717131,bridge,0.0,2.0,,,,,,
150,N1,171.728,Box Culvert,MADDUM SONAPHAR-3,2.0,A,22.8594847882591,91.5454799987854,bridge,0.0,2.0,,,,,,
151,N1,172.122,Box Culvert,MAMAFOUN ASTANA CULVERT,1.5,A,22.8560565672727,91.5457188709091,bridge,0.0,2.0,,,,,,
152,N1,172.23,Slab Culvert,MAMAFAKIR ASTANA SLAB CULVERT,1.5,A,22.8551475327433,91.5458221849557,bridge,0.0,2.0,,,,,,
153,N1,172.969,Box Culvert,MASTANNAGOR BONCUL(1,8.5,A,22.8486172764705,91.5463706117647,bridge,0.0,2.0,,,,,,
154,N1,173.35,Box Culvert,MUSTAU NOGAR(2,3.0,A,22.8453914894736,91.5474689210526,bridge,0.0,2.0,,,,,,
155,N1,173.585,Box Culvert,MASTARI HAGOR 3 CULVERT,1.5,A,22.8434551375,91.54814955625,bridge,5.0,2.0,,,,,,
156,N1,173.859,Box Culvert,MUSTAN NAGAR -4,3.0,A,22.8410943334277,91.5488096951841,bridge,5.0,2.0,,,,,,
157,N1,174.804,Box Culvert,RAIPUR BOX CUL-1,3.0,A,22.8327467692419,91.5501035014577,bridge,5.0,2.0,,,,,,
158,N1,175.013,Box Culvert,RAIPUR (2 BOX CULVERT,4.5,A,22.8309613422018,91.5505028545871,bridge,5.0,2.0,,,,,,
159,N1,175.785,Box Culvert,PURPU DURGAPURE BOX CUL,12.4,C,22.8243706577981,91.5526915454128,bridge,5.0,2.0,,,,,,
160,N1,177.247,Box Culvert,MUCHIPOOL CULVERT,9.5,B,22.811563437647,91.5562562129411,bridge,5.0,2.0,,,,,,
161,N1,179.363,Box Culvert,MIRSARAI BOX CUL,4.5,A,22.7941813523326,91.5629612622718,bridge,5.0,2.0,,,,,,
162,N1,180.85,RCC Girder Bridge,MIRAISORI BRIDGE,23.2,B,22.7821968918511,91.5691025661971,bridge,5.0,2.0,,,,,,
163,N1,181.825,Box Culvert,Mirsorai(2 box culvert,6.0,A,22.774197092,91.5728737519999,bridge,5.0,2.0,,,,,,
164,N1,182.318,Box Culvert,IANAINIPOL BOX CULVERT.,9.7,A,22.770251666098,91.5750905211087,bridge,5.0,2.0,,,,,,
165,N1,183.296,Box Culvert,BOKIMTOLA BOX CULVERT,4.0,A,22.7630626913907,91.5804538821192,bridge,5.0,2.0,,,,,,
166,N1,184.654,Box Culvert,VARTAKA BOX CULVERT,12.9,A,22.7535653245121,91.5886004236585,bridge,5.0,2.0,,,,,,
167,N1,185.058,Box Culvert,VARTAGIA BOX CULVERT,3.0,A,22.7506393495689,91.5908840370689,bridge,5.0,2.0,,,,,,
