,Road,Name,Average Chainage,Start_LRP,End_LRP,Total Cargo,Total People
115,N104,Chowmohoni (Int.with Z1420)-Chowmohoni (Int.with R142 R140),35.076499999999996,LRP032,LRP032,1313.0,5857.0
116,N104,Chowmohoni (Int.with R142 R140)-Maijdee Bazar(Int.with R143),39.5315,LRP032,LRP042,1934.0,6931.0
117,N104,Maijdee Bazar(Int.with R143)-Maijdee(Int.with Z1429),44.115,LRP042,LRP044,1934.0,6931.0
118,N104,Maijdee(Int.with Z1429)-Sonapur,47.415000000000006,LRP044,LRPE,1190.0,6708.0
119,N105,"Madanpur (13th km of N1)-Nayapur, Bostail (Int.with R114)",3.1545,LRPS,LRP006,4999.0,8112.0
120,N105,"Nayapur, Bostail(Int.with R114)-Bhulta (Int.with N2)",9.556000000000001,LRP006,LRP012,5170.0,5226.0
121,N105,Bhulta (Int.with N2)-Purbachal Road,17.012,LRP012,LRP020d,6075.0,5446.0
122,N105,Purbachal Road- Ulukhola (Int.with Z3010),24.9155,LRP020d,LRP028,5190.0,3601.0
123,N105,Ulukhola (Int.with Z3010)-Mirer Bazar (Int.with R301),32.384,LRP028,LRP035,5190.0,3601.0
124,N105,Mirer Bazar (Int.with R301)-Vogra Bypass(Int.with N3),41.078,LRP035,LRP045,5190.0,3601.0
125,N105,Vogra Bypass(Int.with N3)-End of Road (Int.with N4),47.439499999999995,LRP045,LRPE,5216.0,5157.0
126,N8,Jatrabari-Jurain (int.with R810),0.6375,LRPS,LRPS,3677.0,17946.0
127,N8,Jurain (int.with R810)-Postagola Bridge,1.504,LRPS,LRPS,1226.0,11693.0
128,N8,Postagola Bridge-Int. with N802,3.2405,LRPS,LRP004c,1226.0,11693.0
129,N8,Int. with N802- Baorvita (Int.with Z5069),7.711500000000001,LRP004c,LRP010,1226.0,11693.0
130,N8,Baorvita (Int.with Z5069)-Nimtali (Int.with Z8005),13.335,LRP010,LRP015,1319.0,6090.0
131,N8,Nimtali (Int.with Z8005)-Int.with Z8203,17.2225,LRP015,LRP018,896.0,6987.0
132,N8,Int.with Z8203-Int.with Z8003 (Hashara),18.651,LRP018,LRP018,1112.0,4692.0
133,N8,Int.with Z8003 (Hashara)-Srinagar(Int.with R820),22.036,LRP018,LRP025,974.0,5229.0
