,step,avg_delay,avg_driving_time,avg_speed,avg_collapsed,A_collapsed,B_collapsed,C_collapsed,D_collapsed
218,218,0,35.69230769230769,49.982812483035154,0,0.1,0.2,0.3,0.5
219,219,0,35.525,50.25375079164893,0,0.1,0.2,0.3,0.5
220,220,0,37.34146341463415,50.18236440870406,0,0.1,0.2,0.3,0.5
221,221,0,40.76744186046512,50.20571351035464,0,0.1,0.2,0.3,0.5
222,222,0,40.76744186046512,50.20571351035464,0,0.1,0.2,0.3,0.5
223,223,0,40.76744186046512,50.20571351035464,0,0.1,0.2,0.3,0.5
224,224,0,40.76744186046512,50.20571351035464,0,0.1,0.2,0.3,0.5
225,225,0,40.29545454545455,50.21698138511931,0,0.1,0.2,0.3,0.5
226,226,0,40.29545454545455,50.21698138511931,0,0.1,0.2,0.3,0.5
227,227,0,40.29545454545455,50.21698138511931,0,0.1,0.2,0.3,0.5
228,228,0,40.29545454545455,50.21698138511931,0,0.1,0.2,0.3,0.5
229,229,0,41.6,50.20274543514696,0,0.1,0.2,0.3,0.5
230,230,0,41.6,50.20274543514696,0,0.1,0.2,0.3,0.5
231,231,0,41.6,50.20274543514696,0,0.1,0.2,0.3,0.5
232,232,0,41.6,50.20274543514696,0,0.1,0.2,0.3,0.5
233,233,0,41.6,50.20274543514696,0,0.1,0.2,0.3,0.5
234,234,0,41.6,50.20274543514696,0,0.1,0.2,0.3,0.5
235,235,0,40.91304347826087,50.15485966481768,0,0.1,0.2,0.3,0.5
236,236,0,40.91304347826087,50.15485966481768,0,0.1,0.2,0.3,0.5
237,237,0,40.91304347826087,50.15485966481768,0,0.1,0.2,0.3,0.5
238,238,0,40.91304347826087,50.15485966481768,0,0.1,0.2,0.3,0.5
239,239,0,40.12765957446808,50.00847967194922,0,0.1,0.2,0.3,0.5
240,240,0,40.12765957446808,50.00847967194922,0,0.1,0.2,0.3,0.5
241,241,0,40.12765957446808,50.00847967194922,0,0.1,0.2,0.3,0.5
242,242,0,40.12765957446808,50.00847967194922,0,0.1,0.2,0.3,0.5
243,243,0,43.104166666666664,49.986335799002184,0,0.1,0.2,0.3,0.5
244,244,0,43.104166666666664,49.986335799002184,0,0.1,0.2,0.3,0.5
245,245,0,43.104166666666664,49.986335799002184,0,0.1,0.2,0.3,0.5
246,246,0,43.104166666666664,49.986335799002184,0,0.1,0.2,0.3,0.5
247,247,0,43.104166666666664,49.986335799002184,0,0.1,0.2,0.3,0.5
248,248,0,43.104166666666664,49.986335799002184,0,0.1,0.2,0.3,0.5
249,249,0,42.61224489795919,50.23374677625134,0,0.1,0.2,0.3,0.5
250,250,0,41.96,50.185711840726306,0,0.1,0.2,0.3,0.5
251,251,0,41.96,50.185711840726306,0,0.1,0.2,0.3,0.5
252,252,0,41.96,50.185711840726306,0,0.1,0.2,0.3,0.5
253,253,0,41.96,50.185711840726306,0,0.1,0.2,0.3,0.5
254,254,0,41.96,50.185711840726306,0,0.1,0.2,0.3,0.5
255,255,0,41.96,50.185711840726306,0,0.1,0.2,0.3,0.5
256,256,0,44.88235294117647,50.184945906881865,0,0.1,0.2,0.3,0.5
257,257,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
258,258,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
259,259,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
260,260,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
261,261,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
262,262,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
263,263,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
264,264,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
265,265,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
266,266,0,44.44230769230769,50.163356038043226,0,0.1,0.2,0.3,0.5
267,267,0,47.77777777777778,50.097476737325216,0,0.1,0.2,0.3,0.5
268,268,0,47.77777777777778,50.097476737325216,0,0.1,0.2,0.3,0.5
269,269,0,47.77777777777778,50.097476737325216,0,0.1,0.2,0.3,0.5
270,270,0,47.77777777777778,50.097476737325216,0,0.1,0.2,0.3,0.5
271,271,0,47.77777777777778,50.097476737325216,0,0.1,0.2,0.3,0.5
272,272,0,47.77777777777778,50.097476737325216,0,0.1,0.2,0.3,0.5
273,273,0,47.77777777777778,50.097476737325216,0,0.1,0.2,0.3,0.5
274,274,0,47.981818181818184,50.05283232207031,0,0.1,0.2,0.3,0.5
275,275,0,47.981818181818184,50.05283232207031,0,0.1,0.2,0.3,0.5
276,276,0,48.125,50.010568734686395,0,0.1,0.2,0.3,0.5
277,277,0,48.125,50.010568734686395,0,0.1,0.2,0.3,0.5
278,278,0,48.73684210526316,50.03936027876186,0,0.1,0.2,0.3,0.5
279,279,0,48.73684210526316,50.03936027876186,0,0.1,0.2,0.3,0.5
280,280,0,51.258620689655174,50.03790446493706,0,0.1,0.2,0.3,0.5
281,281,0,51.258620689655174,50.03790446493706,0,0.1,0.2,0.3,0.5
282,282,0,50.76271186440678,49.97773197015384,0,0.1,0.2,0.3,0.5
283,283,0,50.76271186440678,49.97773197015384,0,0.1,0.2,0.3,0.5
284,284,0,52.233333333333334,49.940715813816745,0,0.1,0.2,0.3,0.5
285,285,0,52.233333333333334,49.940715813816745,0,0.1,0.2,0.3,0.5
286,286,0,51.39344262295082,49.64873686604926,0,0.1,0.2,0.3,0.5
287,287,0,51.39344262295082,49.64873686604926,0,0.1,0.2,0.3,0.5
288,288,0,51.39344262295082,49.64873686604926,0,0.1,0.2,0.3,0.5
289,289,0,51.39344262295082,49.64873686604926,0,0.1,0.2,0.3,0.5
290,290,0,51.39344262295082,49.64873686604926,0,0.1,0.2,0.3,0.5
291,291,0,51.39344262295082,49.64873686604926,0,0.1,0.2,0.3,0.5
292,292,0,55.274193548387096,49.61851364660127,0,0.1,0.2,0.3,0.5
293,293,0,55.274193548387096,49.61851364660127,0,0.1,0.2,0.3,0.5
294,294,0,56.71875,49.647555956486514,0,0.1,0.2,0.3,0.5
295,295,0,56.71875,49.647555956486514,0,0.1,0.2,0.3,0.5
296,296,0,60.246153846153845,49.6176677906148,0,0.1,0.2,0.3,0.5
297,297,0,60.246153846153845,49.6176677906148,0,0.1,0.2,0.3,0.5
298,298,0,59.134328358208954,49.71691118279261,0,0.1,0.2,0.3,0.5
299,299,0,59.134328358208954,49.71691118279261,0,0.1,0.2,0.3,0.5
300,300,0,59.134328358208954,49.71691118279261,0,0.1,0.2,0.3,0.5
301,301,0,58.46376811594203,49.63342281517543,0,0.1,0.2,0.3,0.5
302,302,0,58.46376811594203,49.63342281517543,0,0.1,0.2,0.3,0.5
303,303,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
304,304,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
305,305,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
306,306,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
307,307,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
308,308,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
309,309,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
310,310,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
311,311,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
312,312,0,59.06944444444444,49.636006063020076,0,0.1,0.2,0.3,0.5
313,313,0,60.21917808219178,49.60666332262235,0,0.1,0.2,0.3,0.5
314,314,0,63.17567567567568,49.58470899408357,0,0.1,0.2,0.3,0.5
315,315,0,63.17567567567568,49.58470899408357,0,0.1,0.2,0.3,0.5
316,316,0,63.17567567567568,49.58470899408357,0,0.1,0.2,0.3,0.5
317,317,0,63.17567567567568,49.58470899408357,0,0.1,0.2,0.3,0.5
318,318,0,64.50666666666666,49.573314510154276,0,0.1,0.2,0.3,0.5
319,319,0,64.50666666666666,49.573314510154276,0,0.1,0.2,0.3,0.5
320,320,0,65.23684210526316,49.544494582389085,0,0.1,0.2,0.3,0.5
321,321,0,66.87012987012987,49.55231477241857,0,0.1,0.2,0.3,0.5
322,322,0,66.87012987012987,49.55231477241857,0,0.1,0.2,0.3,0.5
323,323,0,66.87012987012987,49.55231477241857,0,0.1,0.2,0.3,0.5
324,324,0,66.06410256410257,49.48443253174654,0,0.1,0.2,0.3,0.5
325,325,0,67.6625,49.585284218452884,0,0.1,0.2,0.3,0.5
326,326,0,67.6625,49.585284218452884,0,0.1,0.2,0.3,0.5
327,327,0,67.6625,49.585284218452884,0,0.1,0.2,0.3,0.5
328,328,0,67.72839506172839,49.55652965259002,0,0.1,0.2,0.3,0.5
329,329,0,68.78048780487805,49.54868949052961,0,0.1,0.2,0.3,0.5
330,330,0,68.78048780487805,49.54868949052961,0,0.1,0.2,0.3,0.5
331,331,0,68.78048780487805,49.54868949052961,0,0.1,0.2,0.3,0.5
332,332,0,68.78048780487805,49.54868949052961,0,0.1,0.2,0.3,0.5
333,333,0,68.10843373493977,49.52722242530544,0,0.1,0.2,0.3,0.5
334,334,0,68.10843373493977,49.52722242530544,0,0.1,0.2,0.3,0.5
335,335,0,68.10843373493977,49.52722242530544,0,0.1,0.2,0.3,0.5
336,336,0,67.72619047619048,49.629477713893074,0,0.1,0.2,0.3,0.5
337,337,0,67.72619047619048,49.629477713893074,0,0.1,0.2,0.3,0.5
338,338,0,69.4186046511628,49.58333694843233,0,0.1,0.2,0.3,0.5
339,339,0,71.59770114942529,49.5771893307319,0,0.1,0.2,0.3,0.5
340,340,0,73.9659090909091,49.56415146496059,0,0.1,0.2,0.3,0.5
341,341,0,73.9659090909091,49.56415146496059,0,0.1,0.2,0.3,0.5
342,342,0,73.26966292134831,49.69890819007339,0,0.1,0.2,0.3,0.5
343,343,0,73.26966292134831,49.69890819007339,0,0.1,0.2,0.3,0.5
344,344,0,73.26966292134831,49.69890819007339,0,0.1,0.2,0.3,0.5
345,345,0,73.26966292134831,49.69890819007339,0,0.1,0.2,0.3,0.5
346,346,0,72.52222222222223,49.75180921018369,0,0.1,0.2,0.3,0.5
347,347,0,72.52222222222223,49.75180921018369,0,0.1,0.2,0.3,0.5
